sliceId; general/brand; general/type; general/doors; general/energyConsumption; general/units/energy; general/serviceIntervals; general/isElectric; general/meta; technical/dimensions/height; technical/dimensions/length; technical/dimensions/width; technical/engine; technical/transmission; technical/gears; technical/repairedByWorkshop; color/sides; color/roof; color/highlights;
VIN1; Toyota; Camry; 4; 7.2; L/100km; 10000,20000,30000,40000; false; Reliable sedan; 1445; 4885; 1840; 2.5L I4; Automatic; 8; true; Silver; Black; Chrome;
VIN2; BMW; X5; 5; 9.8; L/100km; 15000,30000,45000,60000; false; Luxury SUV; 1745; 4922; 2004; 3.0L I6 Turbo; Automatic; 8; true; White; Black; Silver;
VIN3; Tesla; Model 3; 4; 15.5; kWh/100km; 20000,40000,60000,80000; true; Electric sedan; 1443; 4694; 1849; Electric Motor; Single Speed; 1; true; Red; Black; Chrome;
VIN4; Honda; Civic; 4; 6.8; L/100km; 8000,16000,24000,32000; false; Compact car; 1416; 4648; 1799; 2.0L I4; CVT; 1; true; Blue; Silver; Black;
VIN5; Audi; A4; 4; 8.1; L/100km; 15000,30000,45000,60000; false; Premium sedan; 1427; 4762; 1847; 2.0T I4; Automatic; 7; true; Black; Black; Silver;
VIN6; Mercedes; C-Class; 4; 8.5; L/100km; 15000,30000,45000,60000; false; Luxury sedan; 1442; 4686; 1810; 2.0L I4 Turbo; Automatic; 9; true; Gray; Black; Chrome;
VIN7; Ford; F-150; 4; 11.2; L/100km; 12000,24000,36000,48000; false; Pickup truck; 1967; 5890; 2029; 5.0L V8; Automatic; 10; true; Blue; Blue; Silver;
VIN8; Volkswagen; Golf; 5; 7.5; L/100km; 10000,20000,30000,40000; false; Hatchback; 1482; 4284; 1789; 1.4T I4; Manual; 6; true; White; Black; Red;
VIN9; Nissan; Altima; 4; 7.8; L/100km; 10000,20000,30000,40000; false; Mid-size sedan; 1444; 4901; 1850; 2.5L I4; CVT; 1; true; Silver; Silver; Chrome;
VIN10; Hyundai; Elantra; 4; 6.9; L/100km; 8000,16000,24000,32000; false; Compact sedan; 1415; 4620; 1800; 2.0L I4; Automatic; 6; true; Red; Black; Silver;
VIN11; Mazda; CX-5; 5; 8.7; L/100km; 12000,24000,36000,48000; false; Compact SUV; 1679; 4575; 1842; 2.5L I4; Automatic; 6; true; Gray; Black; Chrome;
VIN12; Subaru; Outback; 5; 9.1; L/100km; 12000,24000,36000,48000; false; Wagon; 1679; 4870; 1875; 2.5L H4; CVT; 1; true; Green; Black; Silver;
